unit_id,golden,unit_state,trusted_judgments,last_judgment_at,category,category_confidence,category_gold,id,screenname,text
662822308,false,finalized,3,2015-02-18T04:31:00,Information,1,,436528000000000000,Barclays,Barclays CEO stresses the importance of regulatory and cultural reform in financial services at Brussels conference  http://t.co/Ge9Lp7hpyG
662822309,false,finalized,3,2015-02-18T13:55:00,Information,1,,386013000000000000,Barclays,Barclays announces result of Rights Issue http://t.co/LbIqqh3wwG
662822310,false,finalized,3,2015-02-18T08:43:00,Information,1,,379580000000000000,Barclays,Barclays publishes its prospectus for its �5.8bn Rights Issue: http://t.co/YZk24iE8G6
662822311,false,finalized,3,2015-02-18T09:13:00,Information,1,,367530000000000000,Barclays,Barclays Group Finance Director Chris Lucas is to step down at the end of the week due to ill health http://t.co/nkuHoAfnSD
662822312,false,finalized,3,2015-02-18T06:48:00,Information,1,,360385000000000000,Barclays,Barclays announces that Irene McDermott Brown has been appointed as Group Human Resources Director http://t.co/c3fNGY6NMT
662822313,false,finalized,3,2015-02-18T08:51:00,Information,1,,347602000000000000,Barclays,Barclays response to PRA capital shortfall exercise: http://t.co/LwsUQVFaMz
662822314,false,finalized,3,2015-02-18T12:25:00,Information,1,,342316000000000000,Barclays,"Barclays sponsors #Zamynforum BBC World Service debate on globalisation, part of a series of citizenship lectures - http://t.co/5Mqcj0LIRg"
662822315,false,finalized,3,2015-02-18T09:39:00,Information,1,,327332000000000000,Barclays,"Barclays has today published its response to The Salz Review, the independent report into our business practices: http://t.co/QIrl6TuAtf"
662822316,false,finalized,3,2015-02-18T06:45:00,Action,0.6747,,297302000000000000,Barclays,"Read statement on #Barclays CEO bonus award 2012: http://t.co/ALu82p51"
662822409,false,finalized,3,2015-02-18T12:32:00,Action,1,,456830000000000000,barclayswealth,"59% of workers are either looking to change jobs or have applied, the highest figures recorded yet. More in our video http://t.co/JbZ2Sx8JLT"
662822411,false,finalized,3,2015-02-18T11:31:00,Action,1,,455753000000000000,barclayswealth,You no longer have one workforce. You have five. Want the employee benefits plan to match? Our video tells you how. http://t.co/Mxydes7LHG
662822412,false,finalized,3,2015-02-18T13:45:00,Information,1,,453491000000000000,barclayswealth,UK entrepreneurial activity in 2013 at a glance - Barclays and @BGF_team Entrepreneurs Index: http://t.co/8F6YStpAqS http://t.co/Uqg4l09RC9
662822413,false,finalized,3,2015-02-18T13:41:00,Action,1,,445584000000000000,barclayswealth,"Emma Turner, Head of Client Philanthropy provides a short insight into giving. Catch her latest blog here. #charity http://t.co/5YaLwoeoSm"
662822414,false,finalized,3,2015-02-18T13:35:00,Action,1,,440894000000000000,barclayswealth,"...Visit us @NAPFnews 5-7 March for more workforce insights. #NAPF #pension http://t.co/eR9REnMww6 http://t.co/HCbfiJBJkB"
662822415,false,finalized,3,2015-02-18T12:23:00,Information,1,,433994000000000000,barclayswealth,"Will the chill in #emergingmarkets last a little longer as developed markets remain broadly positive? http://t.co/uiv1zY0eC0"
662822416,false,finalized,3,2015-02-18T12:55:00,Action,0.6634,,433308000000000000,barclayswealth,"Since 2004 we've invested �37.5m in the #SpacesforSport programme to help young people develop life skills. More info:http://t.co/gnlgoedq7U"
662822417,false,finalized,3,2015-02-18T08:54:00,Action,0.6775,,427847000000000000,barclayswealth,"Barclays Service Executives: helping you feel more secure about your finances. Find out more... #service http://t.co/hiMg3eeqkU"
662822418,false,finalized,3,2015-02-18T13:45:00,Information,1,,422725000000000000,barclayswealth,"Jaime Arguello examines whether 2014 is the right time to seek opportunities in #EmergingMarkets. http://t.co/4YwH59RK65"
662822419,false,finalized,3,2015-02-18T12:02:00,Information,1,,411854000000000000,barclayswealth,"Student of the Year Awards for Island's exceptional young people, as we proudly sponsored for the 17th consecutive yr.http://t.co/ThFeBVRcpC"
662822420,false,finalized,3,2015-02-18T12:56:00,Information,1,,411542000000000000,barclayswealth,Young people at the focus  4 local charities have been awarded funding at the 2013 Barclays Community Awards event. http://t.co/KKYEizko9H
662822421,false,finalized,3,2015-02-18T11:25:00,Information,1,,407891000000000000,barclayswealth,We are delighted to have been ranked best wealth manager on social in the 2013 MyPrivateBanking report. @MPB_Research http://t.co/1JqEWdUEl1
662822422,false,finalized,3,2015-02-18T13:35:00,Information,1,,403890000000000000,barclayswealth,"Barclays &amp  @BGF_team #EntrepreneursIndex report launches on Mon, looking at levels of entrepreneurial activity in the UK &amp  Ireland."
662822423,false,finalized,3,2015-02-18T13:59:00,Information,1,,400972000000000000,barclayswealth,Proud to sponsor @BVCA Conference today. Lots of thought provoking content for the private equity industry. http://t.co/3quSldCkdj
662822424,false,finalized,3,2015-02-18T12:19:00,Information,1,,382113000000000000,barclayswealth,���Employers must now address the fundamental landscape change in workforce requirements and demands�۝: Zain Wadee http://t.co/EWnxl8e78H
662822425,false,finalized,3,2015-02-18T12:24:00,Action,1,,381784000000000000,barclayswealth,Gen Y: 65% seek financial education &amp  guidance says latest research. View our infographic for more details. http://t.co/Lq2539U7W1
