time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-11-27T14:34:20.900Z,48.378,154.962,35,4.9,mb,,92,5.044,0.63,us,us1000hx1b,2018-11-27T16:06:33.040Z,"269km SSW of Severo-Kuril'sk, Russia",earthquake,7.6,1.7,0.036,248,reviewed,us,us
2018-11-26T23:33:50.630Z,36.0733,139.783,48.82,4.8,mww,,113,1.359,1.13,us,us1000hwvf,2018-11-27T16:44:22.223Z,"3km SSW of Sakai, Japan",earthquake,6,6.1,0.071,19,reviewed,us,us
2018-11-26T13:04:02.250Z,38.8576,141.8384,50.56,4.5,mb,,145,1.286,0.84,us,us1000hwmi,2018-11-26T23:52:21.074Z,"26km SSE of Ofunato, Japan",earthquake,8.4,9.5,0.156,12,reviewed,us,us
2018-11-26T05:20:16.440Z,50.0727,156.142,66.34,4.6,mb,,128,3.191,0.62,us,us1000hwkm,2018-11-26T08:13:58.040Z,"67km S of Severo-Kuril'sk, Russia",earthquake,9.7,7.8,0.045,151,reviewed,us,us
2018-11-25T09:19:05.010Z,33.95,134.4942,38.19,4.6,mb,,104,0.558,0.61,us,us1000hwig,2018-11-25T23:24:52.615Z,"9km SW of Komatsushima, Japan",earthquake,3.4,10.1,0.132,17,reviewed,us,us
2018-11-25T03:16:46.320Z,48.4158,155.0325,35,4.6,mb,,85,4.993,0.77,us,us1000hwaf,2018-11-25T03:44:22.040Z,"263km SSW of Severo-Kuril'sk, Russia",earthquake,6.6,1.8,0.058,90,reviewed,us,us
2018-11-23T14:30:14.510Z,37.1821,141.1721,46.76,5.2,mb,,140,0.75,0.8,us,us1000hvsm,2018-11-26T02:54:51.216Z,"29km ENE of Iwaki, Japan",earthquake,7.2,6.2,0.064,81,reviewed,us,us
2018-11-23T07:19:51.110Z,29.3424,142.3121,10,4.7,mb,,130,2.241,0.76,us,us1000hvm0,2018-11-23T08:14:59.040Z,"250km N of Chichi-shima, Japan",earthquake,9.4,1.9,0.09,37,reviewed,us,us
2018-11-20T20:16:02.790Z,44.4524,148.0753,101.46,4.7,mww,,85,3.95,1.08,us,us1000hul5,2018-11-21T19:05:21.040Z,"88km S of Kuril'sk, Russia",earthquake,7.7,2.1,0.103,9,reviewed,us,us
2018-11-20T19:09:48.760Z,30.4087,130.0687,123,5.5,mww,,30,2.794,0.89,us,us1000hujf,2018-11-26T23:45:15.717Z,"96km WSW of Nishinoomote, Japan",earthquake,5.9,1.8,0.042,54,reviewed,us,us
2018-11-20T15:38:31.270Z,42.0009,142.7654,73.55,4.5,mb,,114,0.292,0.61,us,us1000hx47,2018-11-27T21:03:51.040Z,"49km SE of Shizunai, Japan",earthquake,9.4,8.5,0.27,5,reviewed,us,us
