No,Zaman (UTC),Ref1,Kaynak Aç?klama 1,Enlem,Boylam,Derinlik,Sabit Derinlik,Kaynak No 2,Kaynak Aç?klama 2,Tip,Büyüklük,Kaynak No 3,Kaynak Aç?klama 3,Yer
0,2020-01-29 05:10:23,0, ,35.1640,27.8140,65.10,-,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA,-
0,2020-01-29 02:43:13,0, ,34.9780,28.0010,37.50,-,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA,-
0,2020-01-28 21:45:00,0, ,35.1750,28.0030,53.20,-,7,AFAD-DDA,Mw,4.6,7,AFAD-DDA,-
0,2020-01-28 20:10:26,0, ,39.0131,27.8700,5.08,-,7,AFAD-DDA,Mw,4.7,7,AFAD-DDA,-
0,2020-01-28 15:38:35,0, ,35.2730,27.9470,25.00,-,7,AFAD-DDA,Mw,5.4,7,AFAD-DDA,-
0,2020-01-28 14:53:51,0, ,39.0831,27.8295,7.00,-,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA,-
0,2020-01-28 11:26:14,0, ,39.1001,27.8411,6.98,-,7,AFAD-DDA,Mw,4.8,7,AFAD-DDA,-
0,2020-01-27 16:12:00,0, ,38.3950,39.1333,11.94,-,7,AFAD-DDA,Mw,4.2,7,AFAD-DDA,-
0,2020-01-26 10:12:17,0, ,38.4111,39.1530,12.25,-,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA,-
0,2020-01-26 02:22:45,0, ,38.2440,38.8013,12.52,-,7,AFAD-DDA,Mw,4.3,7,AFAD-DDA,-
0,2020-01-25 17:49:47,0, ,39.0293,27.8430,7.84,-,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA,-
0,2020-01-25 16:46:58,0, ,38.3896,39.0806,12.06,-,7,AFAD-DDA,Mw,4.3,7,AFAD-DDA,-
0,2020-01-25 16:45:06,0, ,38.3833,39.1268,7.00,-,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA,-
0,2020-01-25 16:44:23,0, ,38.4101,39.1071,7.00,-,7,AFAD-DDA,Mw,4.3,7,AFAD-DDA,-
0,2020-01-25 16:44:01,0, ,38.3926,39.1235,11.86,-,7,AFAD-DDA,Mw,4.4,7,AFAD-DDA,-
0,2020-01-25 16:30:07,0, ,38.3740,39.1310,16.40,-,7,AFAD-DDA,Mw,5.1,7,AFAD-DDA,-
0,2020-01-25 10:14:56,0, ,38.2760,38.7530,11.01,-,7,AFAD-DDA,Mw,4.5,7,AFAD-DDA,-
0,2020-01-25 08:40:03,0, ,38.4790,39.2895,13.65,-,7,AFAD-DDA,Mw,4.4,7,AFAD-DDA,-
0,2020-01-25 06:07:33,0, ,38.3848,39.0368,16.46,-,7,AFAD-DDA,Mw,4.2,7,AFAD-DDA,-
0,2020-01-25 00:48:51,0, ,38.4883,39.2030,7.57,-,7,AFAD-DDA,Mw,4.3,7,AFAD-DDA,-
0,2020-01-24 21:16:13,0, ,39.0540,27.8625,9.59,-,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA,-
0,2020-01-24 20:45:03,0, ,38.4233,39.1463,13.50,-,7,AFAD-DDA,Mw,4.3,7,AFAD-DDA,-
0,2020-01-24 20:42:10,0, ,38.3681,39.0995,1.69,-,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA,-
0,2020-01-24 20:18:18,0, ,38.2826,38.7353,6.96,-,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA,-
0,2020-01-24 19:49:38,0, ,38.4186,39.1520,14.84,-,7,AFAD-DDA,Mw,4.5,7,AFAD-DDA,-
0,2020-01-24 19:03:07,0, ,38.2675,38.7088,11.22,-,7,AFAD-DDA,Mw,4.6,7,AFAD-DDA,-
0,2020-01-24 18:36:22,0, ,38.2676,38.7096,6.96,-,7,AFAD-DDA,Mw,4.3,7,AFAD-DDA,-
0,2020-01-24 18:32:35,0, ,38.3698,39.0316,13.01,-,7,AFAD-DDA,Mw,4.6,7,AFAD-DDA,-
0,2020-01-24 18:24:43,0, ,38.2360,38.8233,7.00,-,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA,-
